req_id,defined_in,statement_short,sds_ref,sdd_ref,tp_ref,code_ref,test_ref,status
REQ_C_BHV_001,SRS,Prefer stocks over turbos,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategies/core.py,,CODE
REQ_C_BHV_002,SRS,Avoid overtrading,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategies/core.py;trading_system/strategies/protocol.py,tests/strategies/test_core.py,TEST
REQ_C_BHV_003,SRS,Auto-reject marginal trades,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/tax/engine.py,tests/tax/test_engine.py,TEST
REQ_C_BHV_004,SRS,Survival > return,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_C_BHV_005,SRS,Forbidden behaviors,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,,,TP
REQ_C_CLA_001,SRS,Claude allowed actions,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/strategy_lab/generator.py;trading_system/strategy_lab/__init__.py,tests/strategy_lab/test_generator.py,TEST
REQ_C_CLA_002,SRS,Claude forbidden actions,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/dashboard/engine.py;trading_system/dashboard/__init__.py;trading_system/strategy_lab/generator.py;trading_system/strategy_lab/__init__.py,,CODE
REQ_C_TAX_001,SRS,France CTO PFU only,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/factory.py;trading_system/accounts/tax_model.py;trading_system/tax/__init__.py;trading_system/wealth_ops/fx_hedger/ledger.py,tests/accounts/test_tax_model.py;tests/accounts/test_factory.py;tests/wealth_ops/fx_hedger/test_ledger.py,TEST
REQ_F_ACC_001,SRS,"The system SHALL define an `Account` aggregate that owns, for that ac…",Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/__init__.py;trading_system/accounts/account.py,tests/accounts/test_account_registry.py;tests/accounts/test_persistence_interop.py;tests/accounts/test_structural.py,TEST
REQ_F_ACC_002,SRS,The system SHALL define an `AccountRegistry` that owns the runtime's…,Documentations/SDS.md,Documentations/SDD.md,Documentations/Test-Plan.md,trading_system/accounts/registry.py,tests/accounts/test_tick.py;tests/accounts/test_account_registry.py,TEST
